stable_id,product_name,aliases,platform,developer,platform_identity,lifecycle_status,verification_status,registry_action,notes,surface_type,included_in_standalone_distribution_measurement,last_verified,verification_method,source_url,verification_actor,verification_note
W1-017,MyBonsaiTag,,Web / other + Apple,,Apple:6566183957,current,VERIFIED_PRIOR_CANON,include,NFT identity/transfer,web_or_other,false,2026-09-03,iTunes Lookup API,https://apps.apple.com/us/app/id6566183957,CANON_INTERNAL_FRONT,"platform_identity backfilled 3 Sep 2026. Exact product-name match; store shows Provenance Tags ApS. 0 ratings, last updated 2024-07-26. Listing resolves, so lifecycle_status moves off the undefined value ""known"" to current; surface_type stays web_or_other. platform field corrected 3 Sep 2026 from 'Web / other': a live Apple listing was confirmed by reading the store description, so the field was incomplete. Product identity unchanged."
W1-018,Bonsme,,Historical,,,defunct,HISTORICAL_VERIFIED,include,Defunct; retained because registry covers products that shipped,web_or_other,false,2026-09-03,store search - not resolved,,CANON_INTERNAL_FRONT,"platform_identity backfill attempted 3 Sep 2026 and NOT resolved. Store searches returned no matching listing, which is consistent with the historical/defunct status already recorded. Absence of a current listing is not evidence the product never shipped."
W1-019,Kodama - Bonsai Tree Care,,Apple,BigBalli Consulting LLC,Apple:6761913585,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-020,Mori Bonsai,,Apple,Sima Technologies LLC,Apple:6763155691,current,VERIFICATION_CONTESTED,include,Verified during W1 closure,standalone_app,true,2026-09-03,disputed: external public-web vs internal API+web,https://apps.apple.com/us/app/mori-bonsai/id6763155691,DISPUTED_EXTERNAL_VS_INTERNAL,"CONTESTED across three rounds. External front reports the public US App Store page renders (round 2 supplied this exact URL, and reports 2 ratings for Mori). Internal re-checks on the same date, using two independent HTTP clients plus the iTunes Lookup API: this URL returns HTTP 404 and the ID returns 0 results across 52 storefronts. Five store searches spanning the US and ZA storefronts returned 192 distinct apps containing neither this product nor its stated developer. Control ID 6758486631 passes every one of these methods (52/52 and HTTP 200 on the identical URL pattern). Held as CONTESTED, not refuted: per the external front's own governance rule, non-reproduction is not non-existence. Restoring FIRST_PARTY_VERIFIED would collapse the disagreement in the opposite direction. Not load-bearing for any W1 conclusion. Settles on: a timestamped capture, or lifecycle_status=withdrawn if delisted."
W1-021,Komorebi: Bonsai Tree Care,,Apple,Emanuele Pina,Apple:6761901054,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-022,BonsaiTrack: Care Journal,,Apple,Filip Rusin,Apple:6774980293,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-023,Bonsai: Care & Growth Journal,,Apple,ElevenApril / 帅 陈,Apple:6772092929,current,FIRST_PARTY_VERIFIED,include,Product verified; six US reviews quarantined for authenticity risk,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-024,BonsaiLog: Bonsai Care Log,,Apple,TOBY M BERGER,Apple:6789196023,current,FIRST_PARTY_VERIFIED,include,Distinct from W1-027,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-025,BonsaiNikki – Bonsai Journal,,Apple,David Assany,Apple:6761331285,current,FIRST_PARTY_VERIFIED,include,,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-026,kinoki - bonsai journal & care,,Apple + Google Play,ODA TECNOLOGIA LTDA,Apple:6761061380,current,FIRST_PARTY_VERIFIED,include,Brazilian,standalone_app,true,2026-09-03,iTunes Lookup API,https://apps.apple.com/us/app/id6761061380,CANON_INTERNAL_FRONT,"platform_identity backfilled 3 Sep 2026. Exact product-name match; store artistName ""OdaTec"" corresponds to registry developer ""ODA TECNOLOGIA LTDA"". 0 ratings, updated 2026-05-15. platform field corrected 3 Sep 2026 from 'Google Play': a live Apple listing was confirmed by reading the store description, so the field was incomplete. Product identity unchanged."
W1-027,BonsaiLog,,Apple,MAKOTO NAKAGAWA,Apple:6763495229,current,FIRST_PARTY_VERIFIED,include,Distinct from W1-024,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-028,Bonsai Album,Bonsai Album Lite,Apple / desktop family,Andrew Nicolle,Apple:465021382,current,FIRST_PARTY_VERIFIED,include,Lite/full treated as one product family for competitor count; US ratings leader in W1 snapshot,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-029,Bonsai Care App: Bonsai Buddy,Bonsai Buddy,Apple,Carlos Domingues,Apple:6751142898,current_regional,VERIFICATION_CONTESTED,include,Regional storefront availability; US availability not required for identity,standalone_app,false,2026-09-03,disputed: external public-web vs internal API+web,https://apps.apple.com/za/app/bonsai-care-app-bonsai-buddy/id6751142898,DISPUTED_EXTERNAL_VS_INTERNAL,"CONTESTED across three rounds. External front reports the public ZA App Store page renders (round 2 supplied this exact URL, and reports 2 ratings for Mori). Internal re-checks on the same date, using two independent HTTP clients plus the iTunes Lookup API: this URL returns HTTP 404 and the ID returns 0 results across 52 storefronts. Five store searches spanning the US and ZA storefronts returned 192 distinct apps containing neither this product nor its stated developer. Control ID 6758486631 passes every one of these methods (52/52 and HTTP 200 on the identical URL pattern). Held as CONTESTED, not refuted: per the external front's own governance rule, non-reproduction is not non-existence. Restoring FIRST_PARTY_VERIFIED would collapse the disagreement in the opposite direction. Not load-bearing for any W1 conclusion. Settles on: a timestamped capture, or lifecycle_status=withdrawn if delisted."
W1-030,BonsaiPilot,,Web,,bonsaipilot.app,current,FIRST_PARTY_VERIFIED,include,Distinct from unrelated robotics app of similar name,web_or_other,false,,,,LEGACY_NOT_BACKFILLED,
W1-031,my-bonsai,,Web,,my-bonsai.app,current,FIRST_PARTY_VERIFIED,include,German web subscription tracker,web_or_other,false,,,,LEGACY_NOT_BACKFILLED,
W1-032,Bonsai Droid,,Google Play / historical,,,historical,THIRD_PARTY_ARCHIVE,include,Last known updates around 2020,standalone_app,false,2026-09-03,store search - not resolved,,CANON_INTERNAL_FRONT,"platform_identity backfill attempted 3 Sep 2026 and NOT resolved. Store searches returned no matching listing, which is consistent with the historical/defunct status already recorded. Absence of a current listing is not evidence the product never shipped."
W1-033,MyBonsai,,Google Play / historical,CRESPI BONSAI,,historical,THIRD_PARTY_ARCHIVE,include,Removed from Google Play in 2024,standalone_app,false,2026-09-03,store search - not resolved,,CANON_INTERNAL_FRONT,"platform_identity backfill attempted 3 Sep 2026 and NOT resolved. Store searches returned no matching listing, which is consistent with the historical/defunct status already recorded. Absence of a current listing is not evidence the product never shipped."
W1-034,My Bonsai Book,,Google Play,ZanyGoose,com.mybonsaibook,current,FIRST_PARTY_VERIFIED,include,Google Play 10K+ bracket,standalone_app,true,,,,LEGACY_NOT_BACKFILLED,
W1-035,Yama Bonsai (J)INSPIRE,YAMA BONSAI,iOS / Android historical,Yannick Kiggen / Yama Bonsai,,historical,ARCHIVE_PLUS_PRACTITIONER_EVIDENCE,include,Previously shipped; later unpublished,web_or_other,false,2026-09-03,store search - not resolved,,CANON_INTERNAL_FRONT,"platform_identity backfill attempted 3 Sep 2026 and NOT resolved. Store searches returned no matching listing, which is consistent with the historical/defunct status already recorded. Absence of a current listing is not evidence the product never shipped."
W1-036,Mirai Mobile · My Trees,Mirai My Trees,Bundled mobile app / subscription,"International Bonsai Mirai, LLC",Apple:6447142062,current,FIRST_PARTY_VERIFIED,include,Tree tracking is bundled inside Mirai membership. Include as competitive identity; exclude from standalone app-demand comparisons because distribution is confounded by the wider subscription.,bundled_tracker,false,2026-09-03,iTunes Lookup API,https://apps.apple.com/us/app/id6447142062,CANON_INTERNAL_FRONT,platform_identity backfilled 3 Sep 2026. Developer matches registry (International Bonsai Mirai). 379 ratings - the highest observed in the category - but excluded from standalone measurement because distribution is bundled with the membership.
W1-037,OT2,OtetSudai 2,Desktop · Windows / macOS / Linux,,otetsudaiqt.sourceforge.net,legacy_available,FIRST_PARTY_VERIFIED,include,"Bonsai collection-management software for trees, pots, scheduled work and photos. Included because W1 directly observes it as a destination after Bonsai Droid.",desktop_software,false,2026-09-03,First-party project website,https://otetsudaiqt.sourceforge.net/,W1_EXTERNAL_FRONT,Legacy desktop surface remains publicly documented/downloadable; no mobile-store distribution metric is inferred.
W1-038,My Bonsai - Bonsai Care,,Google Play,Vitale Monaco,com.vitmonac.plantcareapp,current,FIRST_PARTY_VERIFIED,include,"Collection profiles, provenance field, history, care logs, reminders, statistics and PDF. Google Play shows 1K+ downloads in the closure check.",standalone_app,true,2026-09-03,Google Play listing,https://play.google.com/store/apps/details?id=com.vitmonac.plantcareapp,W1_EXTERNAL_FRONT,Current listing reproduced externally.
W1-039,Mokusai: Bonsai Design & Care,,Google Play,PeaceHeart Studio,com.bonsaidesignstudio.mokusai,current,FIRST_PARTY_VERIFIED,include,"Design studio plus growth timeline, tree history, care log and reminders. Google Play shows 1K+ downloads in the closure check.",standalone_app,true,2026-09-03,Google Play listing,https://play.google.com/store/apps/details?id=com.bonsaidesignstudio.mokusai,W1_EXTERNAL_FRONT,Current listing reproduced externally.
W1-040,BonsaiBuddy,,Apple,Dylan Clark,Apple:6758486631,current,FIRST_PARTY_VERIFIED,include,"Distinct from Carlos Domingues' Bonsai Care App: Bonsai Buddy. Includes diagnosis, collection organization and progress tracking.",standalone_app,true,2026-09-03,Public Apple App Store web listing,https://apps.apple.com/us/app/bonsaibuddy/id6758486631,W1_EXTERNAL_FRONT,Different Apple ID and developer from W1-029; therefore a separate product identity.
W1-041,Bonsai Pal,,Apple,Rasmus Horsmann,Apple:6770584295,current,FIRST_PARTY_VERIFIED,include,"Care journal for hobbyist growers: per-tree profiles (35+ species with care defaults), watering/feeding/pruning/repotting logs, photo timeline and side-by-side comparison over years.",standalone_app,true,2026-09-03,iTunes Lookup API + public App Store listing,https://apps.apple.com/us/app/id6770584295,CANON_INTERNAL_FRONT,Added by internal audit 3 Sep 2026; absent from the received 40-row registry. Photo timeline plus side-by-side compare is the closest observed analogue to the record/history concept. 0 ratings.
W1-042,Bonsai Club,,Apple,Danilo Arcadipane,Apple:6450961438,current,FIRST_PARTY_VERIFIED,include,"Garden diary: species, style, placement, age, pot and notes per tree; logs watering, fertilizing, pruning, repotting and wiring with photos; reminders and weather context.",standalone_app,true,2026-09-03,iTunes Lookup API + public App Store listing,https://apps.apple.com/us/app/id6450961438,CANON_INTERNAL_FRONT,"Added by internal audit 3 Sep 2026. Released 2023-07-24. Distinct from BonsaiClub (Eiji Izu), which is a virtue-habit app and is not a competitor. 0 ratings."
W1-043,Bonsai Studio - AI Care,,Apple,Zheng Jiangzhen,Apple:6778829915,current,FIRST_PARTY_VERIFIED,include,"AI care companion, ""part archive, part expert advisor"": species/climate/solar-term-based care reminders and photo AI diagnosis. Ships in Simplified Chinese, Traditional Chinese, English, Japanese and Korean.",standalone_app,true,2026-09-03,iTunes Lookup API + public App Store listing,https://apps.apple.com/us/app/id6778829915,CANON_INTERNAL_FRONT,Added by internal audit 3 Sep 2026. Five-language release is evidence against an English-only view of the category. 0 ratings.
W1-044,Bonsai VN - FC,Bonsai Viet Nam,Apple,Nguyen Thinh,Apple:6761886265,current,FIRST_PARTY_VERIFIED,include,"Vietnamese-language care journal (""nhat ky cham soc""): per-tree watering, fertilizing, repotting and pruning history, plus a technique library for Vietnamese species (Sanh, Si, Mai Vang, Linh Sam).",standalone_app,true,2026-09-03,iTunes Lookup API + public App Store listing,https://apps.apple.com/us/app/id6761886265,CANON_INTERNAL_FRONT,Added by internal audit 3 Sep 2026. Released 2026-04-14. Bears on the non-English/regional-language positioning question in PROJECT-BRIEF. 0 ratings.
W1-045,Noble Bonsai,,Apple,Noble Bonsai SNC,Apple:6738886708,current,FIRST_PARTY_VERIFIED,include,"Companion app for the Noble smart bonsai unit: smart watering management and device control. Competes on care execution, not on longitudinal record.",hardware_companion,false,2026-09-03,iTunes Lookup API + public App Store listing,https://apps.apple.com/us/app/id6738886708,CANON_INTERNAL_FRONT,"Added by internal audit 3 Sep 2026. New surface_type: distribution is tied to hardware ownership, so it is excluded from standalone app-demand comparison. 0 ratings."
